Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;18;250,6;964,500807;26,999328;6;1,380376
28/02/2018;8;null;null;null;5,8;null
31/03/2018;18;159,2;964,28099;26,878448;4,9;1,22912
30/04/2018;19;111;968,707083;23,976111;5,1;1,229167
31/05/2018;16;42;970,080914;21,77836;4,5;1,183736
30/06/2018;14;8,6;970,89375;21,405;4,5;1,125417
31/07/2018;17;25,4;970,939516;20,102688;4,3;1,279301
31/08/2018;14;69,8;970,933871;20,727823;6;1,22164
30/09/2018;9;66,8;967,10875;23,275;5,7;1,501667
31/10/2018;18;94,6;965,741129;24,774059;6,5;1,424059
30/11/2018;18;313,2;965,990536;24,954604;8,4;1,368466
31/12/2018;16;237,4;965,017876;26,424462;7,9;1,361694
31/01/2019;9;108,2;966,39207;28,388575;6,3;1,48965
28/02/2019;19;251,8;964,499851;27,160268;4,7;1,276786
31/03/2019;21;119,6;966,362769;26,594758;5,9;1,197715
30/04/2019;15;66,6;965,929861;25,8175;4,1;1,135278
31/05/2019;20;53,8;967,331048;23,733064;3,7;1,081048
30/06/2019;15;31;971,776945;21,246111;5,4;1,216944
31/07/2019;9;2,2;971,308737;19,321505;4,3;1,343414
31/08/2019;4;11,2;973,013844;20,731183;4,1;1,385618
30/09/2019;8;36;968,845972;24,159167;4,3;1,482639
31/10/2019;8;83,6;966,480856;25,502412;6,1;1,588203
30/11/2019;21;206;964,821903;25,588288;5,4;1,431755
31/12/2019;21;298,6;964,915323;25,910753;7,5;1,351075
31/01/2020;24;257,6;963,395296;26,510215;6,9;1,220699
29/02/2020;25;298,4;965,414224;26,228017;6,4;1,268822
31/03/2020;18;225,4;966,521371;25,469086;6;1,218817
30/04/2020;16;64,6;968,106528;23,649444;4,6;1,109722
31/05/2020;16;33,8;969,42621;20,814516;4,4;1,162097
30/06/2020;17;11;970,633641;21,133219;4,5;1,114988
31/07/2020;8;2,2;970,618683;21,268548;4,2;1,22836
31/08/2020;5;null;970,983748;21,230314;4,9;1,510704
30/09/2020;4;41,6;968,588105;25,037229;4,9;1,515381
31/10/2020;12;77;965,663141;25,682635;4,8;1,488501
30/11/2020;15;177,6;965,637429;25,276475;5,5;1,456423
31/12/2020;23;188,8;964,283737;26,347273;5,4;1,227221
31/01/2021;13;274,2;964,827688;26,761559;7,4;1,450695
28/02/2021;22;279,2;963,617262;26,03631;7,2;1,229018
31/03/2021;17;88;964,987903;26,554032;4,8;1,283871
30/04/2021;17;69,6;967,13125;23,258889;7,1;1,29277
31/05/2021;12;3,4;968,610753;21,963172;3,9;1,09664
30/06/2021;14;36,8;970,12125;20,17375;3,6;1,089028
31/07/2021;3;0,6;972,270296;18,38293;4,4;1,427554
31/08/2021;5;48,2;971,643817;21,251882;8,2;1,439113
30/09/2021;3;null;null;25,159648;4,3;null
31/10/2021;null;null;null;null;null;null
30/11/2021;null;null;null;null;null;null
31/12/2021;null;null;null;null;null;null
