CÓDIGO;NOME;UF;LATITUDE;LONGITUDE;ALTITUDE;SITUAÇÃO
A545;PIRAPORA;MG;-17.258064;-44.835556;505.32;Operante
A546;GUARDA-MOR;MG;-17.56138888;-47.19916666;997.01;Pane
A547;SAO ROMAO;MG;-16.362747;-45.123801;490.29;Operante
A548;CHAPADA GAUCHA;MG;-15.30027777;-45.61749999;873.2;Pane
A549;AGUAS VERMELHAS;MG;-15.751536;-41.457787;754.07;Operante
A550;ITAOBIM;MG;-16.575667;-41.485588;271.63;Operante
A551;RIO PARDO DE MINAS;MG;-15.72305554;-42.43583333;850.06;Operante
A552;SALINAS;MG;-16.16027777; -42.31027777;487.14;Operante
A553;JOAO PINHEIRO;MG;-17.784477;-46.119394;877.05;Operante
A554;CARATINGA;MG;-19.735757;-42.137146;609.25;Operante
A555;IBIRITE (ROLA MOCA);MG;-20.031457;-44.011249;1198.82;Operante
A556;MANHUACU;MG;-20.26333333;-42.18277777;819.47;Operante
A557;CORONEL PACHECO;MG;-21.54666666;-43.26111111;411.14;Operante
A559;JANUARIA;MG;-15.448089;-44.366313;468;Operante
A560;POMPEU;MG;-19.23249999;-44.96416666;705;Operante
A561;SAO SEBASTIAO DO PARAISO;MG;-20.91;-47.11416666;845;Pane
A562;PATOS DE MINAS;MG;-18.52055554;-46.44055555;950;Operante
A563;JANAUBA;MG;-15.80277777;-43.29694444;532;Operante
A564;DIVINOPOLIS;MG;-20.17333332;-44.87499999;796;Operante
A565;BAMBUI;MG;-20.0311111;-46.00888888;697;Operante
A566;ARACUAI;MG;-16.84888888;-42.03527777;308;Operante
A567;MACHADO;MG;-21.680722;-45.944389;969;Operante
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
